field_1,Codigo,Nombre,Elevacion,Lat,Lon,Norte,Este
"118","21160080",BOQUERON,"337",3.753805560000000,-74.900888890000004,1973027.000633,4788975.252893
"119","22070010",RONCESVALLES,"2581",4.006638890000000,-75.607749999999996,2001194.037528,4710543.381473
"120","23190400",GALVICIA LA,"1779",7.124444440000000,-73.057222220000000,2345240.597863,4993683.963635
"121","21010040",LAGUNA LA,"1334",1.961472220000000,-76.085694439999997,1775081.781648,4656809.957864
"122","24030790",NOBSA,"2500",5.773416670000000,-72.940250000000006,2195952.168685,5006612.531658
"123","26210140",ALTAMIRA,"232",6.218527780000000,-75.945499999999996,2246043.566267,4674144.598138
"124","27030040",GUAMO EL,"40",7.904416670000000,-74.813999999999993,2431866.176163,4800100.049560
"125","21010140",CANDELA LA,"1940",1.864388890000000,-76.360833330000006,1764395.819057,4626154.181647
"126","21250460",VENADILLO,"430",4.663805560000000,-74.917749999999998,2073634.754288,4787349.967022
"127","24010710",MONIQUIRA,"1764",5.852166670000000,-73.576416670000000,2204686.191143,4936215.792073
"128","24030640",NIMICIA ESCUELA RURAL,"3200",5.782361110000000,-72.769805559999995,2196945.312125,5025475.278725
"129","23160010",YONDO,"85",7.089444440000000,-73.944166670000001,2341478.604064,4895772.922865
"130","21130050",PEREZ HACIENDA,"450",3.243555560000000,-75.255944439999993,1916699.502633,4749404.836289
"131","24010870",PALERMO,"2200",5.899527780000000,-73.196194439999999,2209890.577960,4978291.978440
"132","26185020",MESOPOTAMIA,"2408",5.886361110000000,-75.318638890000003,2208964.610433,4743378.571879
"133","27010840",SAN PABLO,"1900",6.602000000000000,-75.246527779999994,2288069.101520,4751701.420827
"134","21160050",PINALITO HACIENDA,"827",3.671722220000000,-74.842972219999993,1963939.125624,4795388.139636
"135","28010370",PARIS DE FRANCIA,"180",10.307083329999999,-73.325444439999998,2696976.724544,4964380.827060
"136","21170020",DOS AGUAS LAS,"3394",4.258277780000000,-74.783611109999995,2028766.270490,4802120.352820
"137","28030190",CARACOLI,"220",10.088694439999999,-73.731722219999995,2672911.799364,4919858.396876
"138","29060270",PALO ALTO,"25",10.722500000000000,-74.271916669999996,2743158.780405,4860967.541049
"139","25020690",POPONTE,"500",9.423277779999999,-73.410944439999994,2599308.317704,4954902.873107
"140","29060310",SEVILLANO,"5",10.933055560000000,-74.252444440000005,2766426.906599,4863191.959413
"141","21060090",HOBO EL,"636",2.574805560000000,-75.435527780000001,1842789.547360,4729285.099217
"142","21170040",MESAS LAS,"849",3.912138890000000,-74.822444439999998,1990511.668496,4797723.888049
